Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GEHC,GOOGL,IDSE.CL,IJPA.CL,INRA.CL,ISAC.CL,IUFS.CL,IUHC.CL,IUIT.CL,JETS,JNJ,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SDIA.CL,SGLD.L,SUAS.CL,UBER,VOO
2023-01-11,132.10084533691406,95.08999633789062,32.51444625854492,320.3699951171875,44.888301849365234,127.2699966430664,1188.783203125,74.87525939941406,407.8900146484375,30.40999984741211,11.181222915649414,1788.636962890625,61.411468505859375,64.79130554199219,91.18942260742188,507180.0,208570.0,139770.0,309510.0,48730.0,50030.0,77290.0,19.25,164.52096557617188,24180.0,132.71881103515625,6.170000076293945,132.38430786132812,124.17725372314453,3.7200000286102295,15.98936939239502,7.1106672286987305,42.080074310302734,69.9000015258789,28080.0,26380.0,180.86000061035156,56220.0,28.350000381469727,353.05352783203125
2023-01-12,132.0216827392578,95.2699966430664,32.599571228027344,318.92999267578125,45.23849105834961,127.80999755859375,1198.78076171875,74.96492004394531,410.4200134277344,30.579999923706055,11.358838081359863,1798.6732177734375,62.33631134033203,65.44928741455078,90.80083465576172,507180.0,208570.0,139770.0,309510.0,48730.0,50030.0,77290.0,20.139999389648438,163.69308471679688,24180.0,132.58575439453125,6.489999771118164,136.1897735595703,124.12873077392578,3.6600000858306885,16.498998641967773,7.305022239685059,42.31065368652344,71.0999984741211,28080.0,26380.0,182.80999755859375,56220.0,29.030000686645508,354.3746032714844
2023-01-13,133.35760498046875,98.12000274658203,33.31832504272461,317.6400146484375,46.00336456298828,128.02999877929688,1203.4091796875,75.22493743896484,410.7099914550781,30.719999313354492,10.758334159851074,1792.6116943359375,63.395545959472656,65.23992156982422,91.78726959228516,507180.0,208570.0,139770.0,309510.0,48730.0,50030.0,77290.0,20.170000076293945,163.1568603515625,24180.0,135.93150329589844,6.449999809265137,136.45872497558594,125.06049346923828,3.680000066757202,16.88671875,7.264811038970947,42.434814453125,84.30000305175781,28080.0,26380.0,184.6699981689453,56220.0,29.440000534057617,355.7539978027344
2023-01-16,134.5253143310547,96.05000305175781,32.646854400634766,314.8599853515625,46.36276626586914,127.7300033569336,1212.666259765625,74.7766342163086,413.69000244140625,30.65999984741211,10.716044425964355,1802.548583984375,63.624786376953125,63.136383056640625,90.96026611328125,517000.0,207240.0,141700.0,305720.0,47830.0,48930.0,76770.0,20.25,162.15023803710938,23560.0,133.8308868408203,6.440000057220459,134.84490966796875,124.3713607788086,3.6700000762939453,17.68913459777832,7.579798221588135,40.8651237487793,84.0,27160.0,25400.0,185.0,56050.0,29.200000762939453,355.2100524902344
2023-01-17,134.5253143310547,96.05000305175781,32.646854400634766,314.8599853515625,46.36276626586914,127.86000061035156,1212.666259765625,74.37316131591797,413.239990234375,30.729999542236328,10.716044425964355,1828.384521484375,63.624786376953125,63.136383056640625,90.96026611328125,509630.0,207240.0,141700.0,305720.0,47830.0,48930.0,77700.0,20.25,162.15023803710938,23490.0,133.8308868408203,6.440000057220459,134.84490966796875,124.3713607788086,3.6700000762939453,17.68913459777832,7.579798221588135,40.8651237487793,84.0,27160.0,25400.0,184.75,56050.0,29.200000762939453,355.2100524902344
2023-01-18,133.8029327392578,95.45999908447266,31.8902645111084,308.29998779296875,45.551815032958984,128.5399932861328,1255.61865234375,74.55248260498047,409.8900146484375,30.649999618530273,10.496140480041504,1828.384521484375,62.6604118347168,61.890201568603516,90.79087829589844,509630.0,207240.0,141700.0,305720.0,47830.0,48930.0,77700.0,19.969999313354492,159.70423889160156,23490.0,129.81028747558594,6.440000057220459,132.51380920410156,122.711669921875,3.640000104904175,17.364370346069336,7.358636379241943,39.9073486328125,76.5,27160.0,25400.0,184.35000610351562,56050.0,28.959999084472656,349.43994140625
2023-01-19,133.86231994628906,93.68000030517578,31.426847457885742,305.2300109863281,45.49652099609375,128.7100067138672,1240.4371337890625,74.32833099365234,402.6700134277344,30.649999618530273,10.30161190032959,1848.2581787109375,60.75537872314453,63.744510650634766,92.71391296386719,509630.0,207240.0,141700.0,299920.0,45500.0,48930.0,77700.0,19.940000534057617,159.48785400390625,23490.0,128.0803680419922,6.349999904632568,135.63189697265625,120.8675308227539,3.619999885559082,16.75281524658203,7.606605529785156,39.87186813354492,78.30000305175781,27150.0,25400.0,185.39999389648438,56050.0,29.030000686645508,346.9240417480469
2023-01-20,136.4352569580078,97.25,32.01321029663086,309.8699951171875,47.081573486328125,128.02000427246094,1271.9110107421875,74.9918212890625,407.3599853515625,31.040000915527344,10.487682342529297,1838.3212890625,61.403564453125,66.56586456298828,97.66594696044922,509630.0,207240.0,141700.0,300720.0,45500.0,48930.0,77700.0,20.239999771118164,158.74468994140625,23490.0,128.39402770996094,6.420000076293945,138.8396453857422,122.89608001708984,3.809999942779541,17.826034545898438,7.680325031280518,40.0048942565918,82.80000305175781,27150.0,25400.0,186.0800018310547,56050.0,30.360000610351562,353.3060302734375
2023-01-23,139.64154052734375,97.5199966430664,32.457706451416016,310.4200134277344,47.9017448425293,127.94000244140625,1309.6795654296875,76.81192016601562,416.510009765625,31.459999084472656,10.825995445251465,1917.8162841796875,63.05563735961914,69.30744171142578,99.4295654296875,513650.0,208470.0,135940.0,301800.0,46200.0,47570.0,77610.0,20.25,158.3401336669922,23550.0,130.47564697265625,6.46999979019165,142.7248077392578,124.51695251464844,3.9200000762939453,19.179052352905273,7.861274719238281,39.88960647583008,83.0999984741211,26740.0,25130.0,185.69000244140625,54950.0,30.530000686645508,357.6093444824219
2023-01-24,141.04676818847656,96.31999969482422,32.69413757324219,311.29998779296875,47.38568115234375,127.98999786376953,1296.90478515625,76.21119689941406,415.6199951171875,31.389999389648438,10.775247573852539,1925.765869140625,63.79076385498047,69.38720703125,97.34710693359375,513650.0,208470.0,135940.0,301800.0,46200.0,46430.0,77610.0,20.239999771118164,158.3401336669922,23550.0,131.59719848632812,6.909999847412109,142.5952911376953,123.09990692138672,4.03000020980835,19.250993728637695,7.894783973693848,39.65016174316406,82.5,26190.0,25130.0,186.9499969482422,54950.0,29.93000030517578,357.23052978515625
