Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL
2022-12-09,31772.392578125,288.88409423828125,28958.470703125,6337.4033203125,2334.972900390625,3008.566162109375,34173.578125,239.07568359375,14255.76171875,1836.043212890625,26.804779052734375,119.23999786376953,3236.10400390625,1214.893310546875,53435.71875,8715.45703125,444.9143981933594,37649.03125,11418.859375,11593.271484375,16476.921875,1799.8956298828125,41558.15625,478.1843566894531,24713.083984375,11351.9365234375,25585.6015625,5010.02880859375,10704.5595703125,3752.009033203125,6229.78125
2022-12-12,31788.2890625,277.88470458984375,28532.61328125,6054.35400390625,2328.3251953125,2989.85400390625,34723.5546875,237.12403869628906,14112.3076171875,1851.9364013671875,24.337915420532227,119.8499984741211,3245.6044921875,1209.5533447265625,53283.57421875,8805.3056640625,460.2831115722656,37639.84375,11418.859375,11642.36328125,16534.291015625,1823.2142333984375,41372.4765625,476.445556640625,24225.783203125,11089.4453125,25490.490234375,5022.9462890625,10496.30078125,3805.8271484375,6337.2392578125
2022-12-13,32106.171875,282.9844665527344,28788.1328125,6138.44189453125,2333.31103515625,2988.226806640625,34723.5546875,253.7129669189453,14166.1025390625,1873.684326171875,24.132343292236328,112.0,3144.99267578125,1221.5687255859375,53353.10546875,8886.171875,450.7480773925781,37465.37890625,11418.859375,11624.4267578125,15938.3798828125,1849.8927001953125,40231.83203125,476.445556640625,24527.443359375,11490.06640625,25490.490234375,4840.33642578125,10637.9169921875,3864.7294921875,6109.205078125
2022-12-14,32106.171875,254.8459930419922,27178.3828125,6104.80712890625,2276.80615234375,2916.6328125,34273.5703125,252.12237548828125,14031.6142578125,1837.71630859375,22.729093551635742,118.01000213623047,3261.0576171875,1234.919189453125,53196.09765625,8553.7255859375,450.7480773925781,36253.26171875,11418.859375,11527.1875,17423.708984375,1799.8956298828125,38993.9296875,476.445556640625,24426.88671875,11529.5009765625,25205.1484375,4951.314453125,10329.6923828125,3790.56591796875,6354.376953125
2022-12-15,32900.875,254.07603454589844,27212.455078125,6222.53076171875,2236.089599609375,2832.8359375,33198.6171875,248.6387176513672,13950.9208984375,1826.005615234375,23.1491756439209,114.08000183105469,3321.898681640625,1267.305908203125,53086.47265625,8320.1162109375,452.64654541015625,35812.48828125,11260.4541015625,11636.2275390625,16641.021484375,1739.899169921875,40576.671875,476.445556640625,24117.4921875,11555.7080078125,25975.568359375,4951.314453125,10204.736328125,3810.4423828125,6336.322265625
2022-12-16,33377.70703125,200.98895263671875,27697.92578125,5970.265625,2160.472900390625,2832.0224609375,33198.6171875,248.7362823486328,13547.4560546875,1795.0565185546875,21.710172653198242,112.0,3268.4990234375,1218.021728515625,53086.47265625,8082.013671875,451.7015380859375,34609.55859375,11469.310546875,11540.404296875,16729.962890625,1799.8956298828125,38030.1328125,461.6653137207031,24310.865234375,11089.4453125,26156.28515625,4865.94677734375,10204.736328125,3815.1875,6189.5888671875
2022-12-19,33711.4765625,215.98814392089844,28949.958984375,5886.17724609375,2110.615966796875,2832.8359375,30798.71875,239.07568359375,13430.8994140625,1823.496337890625,22.067689895629883,105.36000061035156,3344.615478515625,1210.981201171875,53261.09375,8203.3115234375,446.3966064453125,35812.48828125,11469.310546875,11560.2294921875,16249.6787109375,1699.9012451171875,39780.8828125,476.445556640625,24047.876953125,11178.16015625,26346.51171875,5156.1953125,10079.7783203125,3809.61376953125,6350.357421875
2022-12-20,32741.94140625,215.68814086914062,29725.033203125,5752.25048828125,2118.92529296875,2766.12353515625,33248.6171875,234.19659423828125,13224.6845703125,1865.3194580078125,19.66339111328125,112.44000244140625,3366.564697265625,1195.491943359375,51730.86328125,8086.5048828125,452.15234375,35803.3125,11469.310546875,11543.236328125,17868.41796875,1750.898193359375,39400.671875,464.27362060546875,24488.771484375,11231.1337890625,26289.443359375,5104.97509765625,10079.7783203125,3809.61376953125,6310.16552734375
2022-12-21,32821.40625,213.45826721191406,31513.638671875,5812.2216796875,2200.358642578125,2847.47998046875,33948.5859375,243.85719299316406,13215.7177734375,1907.1431884765625,18.715972900390625,108.9000015258789,3375.8125,1214.50146484375,53261.09375,8023.61083984375,455.082275390625,36051.23828125,11505.4404296875,11706.560546875,18135.24609375,1789.89599609375,38021.29296875,467.7513427734375,25215.849609375,11089.4453125,25595.11328125,5053.75439453125,10146.4228515625,3685.3876953125,6430.7421875
2022-12-22,32185.642578125,212.98829650878906,31428.4609375,5886.17724609375,2190.38720703125,2896.29443359375,35923.50390625,229.31748962402344,13009.5029296875,1888.74072265625,19.234373092651367,108.0,3283.47509765625,1196.900146484375,53261.09375,8225.7724609375,466.602294921875,36216.52734375,11505.4404296875,11735.8271484375,18410.962890625,1799.8956298828125,39133.45703125,476.358642578125,24921.927734375,11089.4453125,25994.591796875,4976.923828125,10138.0927734375,3711.044677734375,6430.7421875
2022-12-23,32662.4609375,205.188720703125,31428.4609375,5869.5869140625,2218.6396484375,2880.022705078125,35923.50390625,232.2449493408203,13359.1728515625,1888.74072265625,19.66339111328125,108.0,3232.04150390625,1196.900146484375,53435.71875,8149.40087890625,460.014404296875,36914.4140625,11505.4404296875,11838.7333984375,18668.896484375,1759.8980712890625,38985.0859375,466.012451171875,25262.26171875,11142.6748046875,26270.419921875,5066.14111328125,10512.9609375,3772.958740234375,6461.9873046875
2022-12-26,32114.11328125,204.68873596191406,31200.716796875,5886.17724609375,2218.6396484375,2928.836181640625,35748.51171875,232.21566772460938,13430.8994140625,1941.4381103515625,20.55718231201172,108.23999786376953,3182.432861328125,1182.81884765625,53348.40625,8176.3544921875,459.4164123535156,36730.765625,11505.4404296875,11794.83203125,18144.13671875,1819.8944091796875,38985.0859375,473.8371887207031,25061.15234375,11266.8759765625,26527.228515625,5207.41650390625,10754.5439453125,3686.2158203125,6462.8955078125
