Date,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CIBEST.CL,CNEC.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFCIBEST.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AGUAS-A.SN,AMZN,ANDINA-B.SN,BAC,BAP,BRK-B,BSANTANDER.SN,BVN,C,CBU7.L,CCU,CENCOSUD.SN,CFMITNIPSA.SN,CHILE.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,CPAC,CSPX.L,ECL.SN,EIMI.L,ENELCHILE.SN,ENTEL.SN,F,FALABELLA.SN,GE,GOAU,GOOGL,IAM.SN,IJPA.L,ITAUCL.SN,JETS,JNJ,JPM,META,NKE,NVDA,PARAUCO.SN,PFE,SCCO,SGLD.L,SMU.SN,SUAS.L,URA,VAPORES.SN,VOLCABC1.LM,VOO
2025-05-04,29920.220703125,12640.0,3934.457763671875,10256.576171875,50000.0,9100.0,16660.0,1735.0,18.0,51.0,1935.428466796875,2845.07666015625,70322.8046875,21334.001953125,546.7413940429688,42222.6796875,17605.08203125,15393.44921875,20468.8125,5979.96875,126600.0,562.355712890625,44000.0,16100.453125,20986.337890625,15904.6279296875,36640.47265625,6169.1181640625,11300.0,343.03021240234375,189.97999572753906,4018.173828125,40.39363098144531,190.483154296875,539.7999877929688,56.59000015258789,14.369999885559082,69.16007232666016,138.17999267578125,15.430000305175781,3175.0,3910.085693359375,139.89999389648438,147.99392700195312,1150.617919921875,6499.763671875,5.360000133514404,603.4299926757812,1164.9534912109375,36.20000076293945,63.70985794067383,2734.949462890625,9.883591651916504,4242.9248046875,206.9073944091797,25.916881561279297,163.57827758789062,839.51416015625,58.40999984741211,12990.009765625,20.71036720275879,152.69554138183594,248.96047973632812,595.6728515625,57.53497314453125,114.4792251586914,2049.5966796875,22.940223693847656,86.5646743774414,312.2200012207031,173.41184997558594,15.354999542236328,24.662681579589844,52.43965148925781,0.19499999284744263,516.1661987304688
2025-05-11,31085.943359375,12000.0,4082.0,10313.982421875,49520.0,9300.0,17200.0,1720.0,18.100000381469727,51.0,1920.54052734375,2825.853271484375,74210.1015625,21392.3984375,585.7943725585938,42906.84375,18024.369140625,16205.0703125,20601.11328125,6989.96337890625,123960.0,582.8582153320312,43320.0,16454.10546875,22251.267578125,16077.923828125,36757.1015625,6261.1953125,11100.0,345.4345397949219,193.05999755859375,3983.7041015625,41.101776123046875,194.42137145996094,513.739990234375,57.2599983215332,15.020000457763672,70.00264739990234,137.9600067138672,14.829999923706055,3324.294677734375,3988.127197265625,142.4499969482422,151.99374389648438,1144.81640625,6444.765625,5.599999904632568,602.9099731445312,1222.2513427734375,36.20000076293945,69.81378936767578,2656.80810546875,10.02780818939209,4746.86328125,214.13967895507812,28.13790512084961,152.329345703125,857.953125,58.68000030517578,13500.0,21.662569046020508,150.8372344970703,249.52247619628906,591.1530151367188,57.25019454956055,116.62882995605469,2024.220703125,21.12017250061035,86.50812530517578,321.82000732421875,179.1579132080078,15.539999961853027,25.92254066467285,52.379661560058594,0.19200000166893005,514.1242065429688
2025-05-18,31241.373046875,12160.0,4249.21435546875,10026.9501953125,50000.0,8770.0,18320.0,1810.0,18.100000381469727,53.0,2292.73828125,2782.600341796875,69554.828125,20944.6953125,584.8179321289062,43786.48046875,18287.736328125,16348.482421875,19845.109375,7139.96240234375,123500.0,583.8345336914062,42800.0,15281.470703125,22692.076171875,15885.373046875,37126.421875,6288.81787109375,12000.0,350.7239990234375,205.58999633789062,4116.65869140625,43.954017639160156,195.52899169921875,514.3099975585938,59.400001525878906,14.520000457763672,74.7793960571289,137.61000061035156,14.210000038146973,3130.0,4053.599609375,146.75,152.4952850341797,1123.8345947265625,6999.927734375,5.630000114440918,631.1799926757812,1284.648681640625,37.13999938964844,68.82190704345703,2737.586669921875,10.383540153503418,4688.33349609375,230.8955078125,25.897058486938477,165.73231506347656,856.9737548828125,58.9900016784668,12999.0,22.55525779724121,148.01065063476562,263.7989196777344,638.89501953125,61.97358322143555,135.37542724609375,2029.1007080078125,22.054399490356445,87.87281036376953,306.510009765625,177.2417755126953,16.30500030517578,26.447481155395508,59.55824661254883,0.17900000512599945,541.4932861328125
2025-05-25,32057.3828125,12460.0,4337.73974609375,10428.7939453125,52300.0,7990.0,18140.0,1780.0,17.299999237060547,57.0,2183.560302734375,2854.6884765625,67595.5390625,21178.279296875,592.628662109375,44783.40234375,18272.7421875,16240.1826171875,19089.10546875,7349.96142578125,124640.0,571.1425170898438,43300.0,16240.0,22423.7578125,15981.6494140625,37320.8046875,6279.60986328125,12380.0,346.0723876953125,200.99000549316406,4096.86279296875,42.488555908203125,193.35162353515625,503.4599914550781,58.650001525878906,15.0,72.18206024169922,137.6199951171875,13.859999656677246,3245.0,4046.0341796875,146.0,154.98521423339844,1144.2220458984375,6897.9287109375,5.739999771118164,617.9600219726562,1264.9495849609375,37.150001525878906,65.76039123535156,2705.255859375,10.105844497680664,4820.2734375,231.90162658691406,28.43423843383789,168.00604248046875,855.9943237304688,59.41999816894531,12922.0,21.741918563842773,149.5853271484375,257.04522705078125,625.64501953125,58.93922424316406,131.26617431640625,2099.855224609375,22.527753829956055,89.37301635742188,323.54998779296875,179.1579132080078,15.949999809265137,30.3797664642334,54.9891471862793,0.18299999833106995,527.7542114257812
2025-06-01,31668.8046875,12000.0,4150.85302734375,9988.6796875,48800.0,8110.0,18500.0,1740.0,17.299999237060547,57.0,2431.692138671875,2787.40625,68477.21875,20925.23046875,576.0311279296875,43884.22265625,18150.8046875,15923.685546875,18935.423828125,7209.96240234375,126500.0,568.213623046875,42800.0,16360.0,21772.126953125,15750.5888671875,36251.71875,6169.1181640625,12280.0,342.490478515625,205.00999450683594,3962.530029296875,43.40324020385742,211.80999755859375,503.9599914550781,56.369998931884766,14.979999542236328,74.38436126708984,138.16000366210938,13.630000114440918,3256.300048828125,3867.60498046875,139.1999969482422,147.9954376220703,1137.8817138671875,6499.93310546875,6.0,627.77001953125,1250.0,36.77000045776367,68.5999984741211,2697.832275390625,10.125353813171387,4478.419921875,244.97158813476562,28.582901000976562,171.26702880859375,856.9737548828125,60.2400016784668,12799.0,22.535419464111328,151.80552673339844,260.2889709472656,646.0288696289062,59.498958587646484,135.10548400878906,1950.576416015625,22.69197654724121,87.98896789550781,316.95001220703125,174.2717742919922,16.2549991607666,30.551563262939453,51.756004333496094,0.2029999941587448,537.0325317382812
2025-06-08,31986.478515625,12520.0,4372.16650390625,10103.4921875,50100.0,8450.0,18440.0,1845.0,19.0,55.0,2823.740478515625,2869.10595703125,68575.1796875,21372.93359375,588.041015625,43884.22265625,18150.8046875,16302.4091796875,19405.869140625,7209.96240234375,129800.0,568.4921875,44180.0,16200.0,22308.763671875,16135.6884765625,36562.7265625,6316.4404296875,12300.0,333.6583557128906,213.57000732421875,3742.416748046875,44.22940444946289,217.5500030517578,493.5299987792969,58.20000076293945,16.950000762939453,77.287841796875,137.60000610351562,13.59000015258789,3184.10009765625,3926.119384765625,142.97000122070312,149.995361328125,1144.2220458984375,6475.93310546875,5.940000057220459,638.6199951171875,1239.9000244140625,37.790000915527344,67.5,2769.624755859375,10.008298873901367,4610.955078125,254.65447998046875,29.53434181213379,173.20169067382812,852.0767211914062,60.27000045776367,12855.0,23.061115264892578,152.92938232421875,261.9946594238281,696.1355590820312,61.66916275024414,141.69427490234375,1980.5316162109375,22.556734085083008,92.56697845458984,320.95001220703125,173.64930725097656,16.4325008392334,32.1072998046875,52.54594802856445,0.1979999989271164,545.8548583984375
2025-06-15,31420.517578125,12200.0,4416.4287109375,10141.7626953125,49940.0,8140.0,17400.0,1985.0,18.700000762939453,55.0,2798.92724609375,2797.017822265625,68379.2578125,21003.08984375,578.2403564453125,44666.12109375,18191.783203125,16316.83203125,18817.8125,7209.96240234375,126740.0,561.631103515625,44080.0,16020.0,21561.306640625,15885.373046875,36990.35546875,6261.1953125,12360.0,327.27960205078125,212.10000610351562,3893.098388671875,43.619441986083984,217.3000030517578,487.5400085449219,58.08000183105469,16.889999389648438,75.41143798828125,138.08999633789062,12.989999771118164,3190.0,3945.0283203125,142.3000030517578,149.00538635253906,1128.9656982421875,6489.93310546875,5.909999847412109,641.1300048828125,1294.800048828125,38.20000076293945,70.04000091552734,2860.1708984375,10.174128532409668,4842.9912109375,235.69711303710938,30.66913604736328,174.18896484375,847.66943359375,60.439998626708984,12750.0,21.46419334411621,154.97132873535156,261.22564697265625,681.3291015625,59.83505630493164,141.94422912597656,2005.610595703125,23.706308364868164,91.71525573730469,329.7900085449219,169.13270568847656,16.395000457763672,34.48385238647461,50.99606704711914,0.24400000274181366,543.9813842773438
2025-06-22,31596.16015625,12200.0,4426.26513671875,9854.732421875,49260.0,8060.0,17600.0,2000.0,18.600000381469727,55.0,2774.1142578125,2835.46484375,69290.75,21295.072265625,579.2203979492188,46327.6640625,18364.697265625,16312.3544921875,19013.83203125,7129.96240234375,129400.0,563.5913696289062,43820.0,16000.0,21082.166015625,15731.333984375,37029.234375,6251.9873046875,12400.0,323.8448791503906,209.69000244140625,3869.462158203125,45.0143928527832,218.42999267578125,484.8500061035156,57.349998474121094,16.18000030517578,77.47547912597656,138.5500030517578,12.5,3138.0,3881.153564453125,141.0800018310547,146.0054931640625,1074.9742431640625,6169.9365234375,5.769999980926514,637.6900024414062,1250.0,37.86000061035156,68.47000122070312,2838.48681640625,10.33020305633545,4895.76708984375,238.45652770996094,29.025917053222656,166.38226318359375,803.9686889648438,59.47999954223633,12360.0,21.39476203918457,147.7603759765625,271.13433837890625,680.8102416992188,59.103553771972656,143.83387756347656,1960.5283203125,23.155670166015625,90.45702362060547,324.3599853515625,160.96435546875,16.299999237060547,35.09469223022461,46.996376037597656,0.23199999332427979,542.9404907226562
2025-06-29,31225.357421875,12180.0,4426.26513671875,9854.732421875,51000.0,8100.0,18040.0,1820.0,18.700000762939453,55.0,2735.0,2902.7470703125,70725.71875,21489.7265625,568.4396362304688,47305.0390625,18388.68359375,16435.69140625,19386.267578125,7199.96240234375,129960.0,558.6905517578125,46160.0,15940.0,22021.28125,15923.8837890625,36543.28515625,6353.271484375,12300.0,333.6583557128906,223.3000030517578,3781.810791015625,46.617103576660156,223.89999389648438,485.67999267578125,58.150001525878906,16.149999618530273,83.33181762695312,139.6300048828125,12.890000343322754,3185.10009765625,3946.02783203125,139.39999389648438,149.995361328125,1048.2261962890625,6453.83349609375,6.0,659.0,1270.699951171875,39.369998931884766,68.31999969482422,2888.302001953125,10.535050392150879,4859.95458984375,253.53875732421875,28.027894973754883,178.25387573242188,839.834228515625,62.18000030517578,12517.0,22.723876953125,150.34487915039062,283.0740966796875,732.5377197265625,71.2129135131836,157.73231506347656,1959.43359375,23.36819839477539,99.21623229980469,315.1600036621094,162.396240234375,16.860000610351562,36.3354606628418,47.65632247924805,0.23800000548362732,562.0027465820312
2025-07-06,31225.357421875,12040.0,4475.44580078125,10312.4404296875,51640.0,7660.0,17800.0,1835.0,18.700000762939453,55.0,2735.0,2926.776611328125,68995.8984375,22871.763671875,569.419677734375,49846.21484375,18533.611328125,16670.927734375,19582.287109375,7299.96142578125,127260.0,556.7303466796875,45500.0,15840.0,21637.96875,16655.57421875,37651.24609375,6353.271484375,12380.0,329.4385681152344,223.41000366210938,3890.143798828125,48.40778732299805,227.25,485.0,58.75,16.700000762939453,87.61790466308594,139.3000030517578,13.479999542236328,3165.0,3980.44189453125,139.8000030517578,149.9353790283203,1099.6419677734375,6389.93408203125,6.150000095367432,665.6300048828125,1250.0,39.5099983215332,68.51000213623047,2994.96484375,11.520273208618164,4942.29345703125,245.93788146972656,29.0982666015625,179.2523193359375,836.9254760742188,61.310001373291016,12754.0,23.924047470092773,153.89610290527344,291.8391418457031,717.9395141601562,75.51296997070312,159.3221435546875,1940.7239990234375,24.51776885986328,102.45860290527344,320.9599914550781,157.06277465820312,16.969999313354492,36.1732063293457,46.256431579589844,0.23600000143051147,570.2005615234375
