,CENCOSUD.SN,NVDA,MINEROS.CL,PROMIGAS.CL,GRUPOAVAL.CL,PFCIBEST.CL,CSPX.L,index
2016-01-17,0.0758283393445596,0.08676557830754617,0.08749568015962225,0.13398245826175098,0.14300008632690778,0.2229278575992478,0.25,1.0
2016-01-24,0.07765337270696233,0.09105424878744676,0.08381163329916962,0.12632234336904924,0.13946040366537343,0.22372695862404499,0.2526393357729119,0.9946682962249582
2016-01-31,0.08044101260086546,0.09374265169619114,0.08864691274602275,0.1290101375712261,0.15078711051093738,0.23211673552311268,0.25493535751240864,1.0296799181607643
2016-02-07,0.08089172275674428,0.08458922160572911,0.09187042970580059,0.1290101375712261,0.1486661492845982,0.24430182301531675,0.2510443050601886,1.0303737889996036
2016-02-14,0.08058567346185597,0.08234886108319707,0.09859281342953434,0.1271287156240134,0.1500888715757463,0.24090591709991804,0.24747510951429527,1.0271259617885604
2016-02-21,0.08434705846962268,0.09742323113507342,0.10646176537473474,0.12497849385999638,0.15506804130915694,0.24789741304025167,0.2557364526946527,1.0719124558834885
2016-02-28,0.08397983984015943,0.10139185904958796,0.10923900198856693,0.12699823186025103,0.15435671002071688,0.24370258839338196,0.2606789480306198,1.0803471791832842
2016-03-06,0.08825309308160137,0.10417628333061223,0.10669318840193287,0.12699823186025103,0.16504384719935497,0.25668666753438746,0.26722363373107516,1.115074945139215
2016-03-13,0.09101847832433506,0.10349581260231173,0.11390012110143882,0.12699823186025103,0.167187260990445,0.2636780905573906,0.2692549884655389,1.1355329839017112
2016-03-20,0.09534741322081468,0.10860314387796563,0.10832136432437672,0.12699823186025103,0.16361485491007163,0.26168064789405227,0.2736038002383813,1.1381694563259133
2016-03-27,0.09380057425480824,0.11075531145252566,0.11622454565554344,0.12740397435992856,0.16218589247792228,0.25428961967065267,0.2707141385921731,1.135374056463554
2016-04-03,0.09454059487588953,0.11611958866288032,0.11599216891798944,0.1292974710864473,0.16432939584041426,0.2584844443175224,0.2755922407186682,1.1543559044198115
2016-04-10,0.09578696790916245,0.11454563742318867,0.11250539584249603,0.1292974710864473,0.16576907698366142,0.2597509818894007,0.2744692886300974,1.152124819764454
2016-04-17,0.10224139084399982,0.11926750678347108,0.11495566207734119,0.13254341108386736,0.1700747444173811,0.2801037400920119,0.27823873614334516,1.1974251914414176
2016-04-24,0.10453383379324233,0.11650505839885554,0.11542681102189456,0.13451596498030213,0.17150999177623266,0.28715677825927577,0.27881094075117474,1.2084593789809777
2016-05-01,0.09880272642013602,0.11412806410900782,0.11636905281039212,0.13698162675596562,0.17150999177623266,0.28393261088650446,0.2748626765694544,1.1965867493276932
2016-05-08,0.09900306330777493,0.11348564843833187,0.10977328014718184,0.13698162675596562,0.16788694799663392,0.262169157549644,0.2738040740339423,1.1631037982294745
2016-05-15,0.09826859227851284,0.131634415115376,0.11025477564694067,0.13698162675596562,0.1736513006393773,0.2722447649002177,0.27643627198329584,1.1994717473196859
2016-05-22,0.1001556110919345,0.1423951122173095,0.1097815910517117,0.13698162675596562,0.16860757978230792,0.27103579556075813,0.2755922407186682,1.2045495571786555
2016-05-29,0.10618761215535877,0.147438212874741,0.11025477564694067,0.13739378738158056,0.1664459232823578,0.26277366044870637,0.2808995290433455,1.2113935008330308
2016-06-05,0.10723515670931683,0.14968893569718106,0.11120113682302583,0.13739378738158056,0.16498420757423546,0.25632516163917013,0.28025579340248546,1.2070841792269953
2016-06-12,0.10404646030966556,0.148787204448882,0.11360465522168708,0.1346458912373623,0.168602280141027,0.26096002414619085,0.2817578577832965,1.2124043732881111
2016-06-19,0.10702221222971545,0.15046189288488715,0.11336704509873483,0.13739378738158056,0.168602280141027,0.2559222022415713,0.27690835060744823,1.2096777705849644
2016-06-26,0.1086913786080932,0.14727357352556064,0.11336704509873483,0.13643748661689944,0.16932594242579965,0.2639827209348291,0.2758425884201711,1.214920735630088
2016-07-03,0.10976193201738273,0.1502686144849421,0.11883336824064797,0.13643748661689944,0.1678786775705223,0.25672819395409946,0.28238727412062653,1.2222955470051207
2016-07-10,0.10889858213064027,0.16376255001665602,0.12738940037509625,0.135334983118999,0.16858470921768143,0.2579063192627634,0.28521974586554105,1.2470962899873774
2016-07-17,0.10213556586896504,0.16972045797178,0.12066380288789436,0.135334983118999,0.16931129750158386,0.2627838506456419,0.2901836983285966,1.2501336563234606
2016-07-24,0.10523792277723064,0.17606487580317187,0.11801449970608753,0.13574638227204508,0.16931129750158386,0.2642065589100888,0.2912565983394321,1.25983813530964
2016-07-31,0.10722941575226252,0.183890672388209,0.11560599636758291,0.12441107441668248,0.1707646532121926,0.2642065589100888,0.29207199099699965,1.258180362044018
2016-08-07,0.10836904075466058,0.18743320253050513,0.11102996585007611,0.12441107441668248,0.1714797912852148,0.2678647849219113,0.2932021245655421,1.2637899843245926
2016-08-14,0.11350890834862097,0.20302044777330144,0.11612922270619132,0.12441107441668248,0.1729391930654539,0.2761975040098737,0.29395314584184434,1.300159496161968
2016-08-21,0.11276068153598556,0.20050840729869002,0.11782277988143616,0.12441107441668248,0.17950653839794742,0.2761975040098737,0.29358835285313417,1.3047953383937496
2016-08-28,0.11497087120445167,0.1997677492042822,0.1248389224235284,0.1276011413643631,0.1809658953924856,0.28818848556832377,0.2940604314772866,1.330393496634721
2016-09-04,0.11433775620914478,0.20174906787032076,0.11370985989262596,0.1386968981081999,0.1824135036048037,0.2973340141392147,0.2933523244551613,1.341593424279471
