Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CFMITNIPCO,CHILE.SN,CSPX.L,EIMI.L,ENELAMCO.CL,EQAC.SW,F,FALABELLA.SN,GE,GEHC,GOOGL,IBO1,ICHNA.XD,IDSE.CL,IJPA.CL,INRA.CL,ISAC.CL,IUES.SW,IUFS.CL,IUHC.CL,IUIT.CL,IWVLM.XD,JETS,JNJ,JPEA.CL,JPM,LQDA,LTMCO,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SDIA.CL,SGLD.L,SQMBCO.CL,SUAS.CL,UBER,VOO
2021-11-23,0.0024218187968121363,0.0020909577736383245,0.026361235757250023,0.012597804409279822,0.015363837368037592,-0.0019554190967587814,-0.007407466889936876,,-0.006345014933339721,-0.013057781368850052,-0.006369413967010407,,,-0.01367188256806795,-0.047978058971060555,0.010293010549836223,,-0.0035543303511194058,,,,,,0.0,,0.0,,-0.034659223075133805,,-0.004504509958962899,0.00619928032285344,0.0,0.023912614508109442,-0.06372548905027597,,-0.011026085609799008,-0.01199507609898931,,-0.006571642358099483,0.05322405596658997,-0.0023436844690634118,-0.03712295468694227,0.0,,-0.01764977291213954,,-0.003136531365313666,0.0018779773220716223,0.0013024959135738978
2021-11-24,0.003283877029482074,0.00010331533981333685,0.002736904271914087,-0.004435815047568958,-0.01160567236408827,-0.00021768216985940114,0.006716413764305873,,-0.005783073178017517,0.0041791590781830035,-0.0016722790274478205,,,0.0024752319071583706,-0.039933983613502644,0.0014693718334970463,,0.0023184085737626425,,,,,,0.001551852101747464,,0.04206815511163331,,0.01746987951807233,,0.0009049784763519586,-0.00280049364704571,0.0,-0.007844034132478028,0.09424081188143396,,0.011297349412124014,-0.0006968453944681263,,0.02923191337429709,0.018464480132214245,-0.0037198047891519037,0.023293205373577708,0.0,,0.005592973421990166,,0.0061077179344808386,-0.014058070989477756,0.002462407197977523
2021-11-25,0.0,0.0,0.0,0.0,0.0,-0.00029026917177488176,-0.020014813523875907,,0.010542954583790065,0.003973552538758529,0.003908414038000796,,,0.0,-0.0034376808134782832,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.0020748716188025984,,0.0,0.0,0.0
2021-11-26,-0.03167849556507385,-0.021184701669844985,-0.039261149354186564,-0.014585082355925594,-0.026456625243649223,0.007622969007510694,-0.01664140899943578,,-0.01067279477845584,-0.023767870099855037,-0.03893208417199745,,,-0.02469144012579305,-0.023801234123150605,-0.04294229497666058,,-0.0269435795995423,,,,,,0.0,,0.0,,0.0,,-0.07188065154397338,-0.006490218965047645,0.0,-0.03012721920185324,-0.01674633916242063,,-0.023280464436234105,-0.023310006183723697,,-0.03583861704231672,-0.0009539652182527503,0.06111220829511255,0.004709544048872916,0.0,,0.0027433124433617895,,0.0,-0.03707227436810012,-0.021759683831583665
2021-11-29,0.02187363149332433,0.016267432688752415,-0.003714854887914454,-0.0034264765030600497,-0.007022765040803458,7.212166661307862e-05,-0.02307690762003123,,-0.030303046945788115,0.0101142020989764,0.007812512935035265,,,-0.004050522526111711,-0.04593638973882708,0.005723622679261853,,0.023543564463929467,,,,,,-0.003637833468067897,,-0.02097428958051417,,0.02261693309650692,,0.0009740917774962998,0.0034546501025864984,-0.0008568980291345785,-0.004322710606068592,-0.019464700999327622,,0.014739468520582388,0.01101060753308336,,0.05945471409221348,0.03247363983006846,-0.02962968080389583,0.013281265894572014,0.011847301448003611,,-0.005529267838247365,,-0.001287711552612203,-0.020236912279380403,0.01208138750610499
2021-11-30,0.031577406293952004,-0.015302274022490625,-0.024566906756502083,-0.019247103253088205,-0.02060267603738164,-0.0004322590581743446,0.039370086028251094,,0.0,-0.011935242060943096,-0.006316428628693638,,,-0.024402648312278896,-0.05185183026724516,-0.034654466686500074,,-0.02496370370861445,,,,,,0.0007775524002704426,,-0.011057360055286791,,0.0,,-0.012651991240116955,-0.023912338161924285,0.0,-0.014885538913747998,0.029776644990494594,,-0.04014439912361467,-0.0037087188753042177,,-0.020973415346467905,-0.012950977027953225,0.0253816864253249,0.01002311445722981,0.0,,-0.005965474096204404,,0.0,-0.04282117708487376,-0.019146266369251097
2021-12-01,-0.0032061279639072904,-0.0180634873037836,-0.014166940001579809,-0.006107927378995681,-0.01852436826329762,-0.0007208166322334453,-0.04613636136506816,,-0.049999994336261344,0.013725603031114364,0.029471263790113778,,,0.020323132022225465,0.019531170612175908,-0.02094972176677179,,-0.005962136483323777,,,,,,0.0,,0.0,,0.0,,-0.04484973482114496,0.0137883717684546,0.0,-0.00591818896233498,-0.004819272401665575,,-0.04271711341397577,-0.015008457146487353,,-0.037860969596448024,-0.0028117222813537346,0.017681049593431863,-0.017557236377822805,0.0,,0.006554797925736544,,0.0,-0.05210525111148234,-0.011501844358991153
2021-12-02,-0.006129846379759107,-0.0018468889124809706,0.02887926638748972,0.0148727139559659,0.02063344812657064,0.0008655158519601525,0.027082717848452953,,0.01973681739504629,-0.02024634306852391,-0.005332653261587494,,,0.014810925156705235,0.0283525913113456,0.02397855061358567,,0.013573113128167336,,,,,,0.0,,0.0,,-0.03937007874015752,,0.06140348878257407,-0.006262597078905308,0.0,0.021027269138732763,-0.03147702441614009,,-0.0006759042549518979,0.019796097156846493,,0.021981775450159002,0.10594703442143949,-0.029992606400860433,-0.005439021161146029,0.0,,-0.010679871312293754,,0.0,0.05830090081713113,0.015256718493692256
2021-12-03,-0.01172436220148454,-0.013839076006382012,-0.022722330591635753,-0.005947915310083762,-0.016455113923207754,0.0008648773474162486,0.028456619698508545,,0.012645265032571018,-0.0028198673271013774,-0.014390472384184783,,,-0.036738850697267345,0.04321897510670847,-0.025832170370171714,,-0.006746341790513699,,,,,,-0.0308076884099584,,0.0,,0.0,,-0.02187645444598174,0.014577462509595573,0.0,-0.018113136007675945,0.009999990463256836,,-0.011437446143007901,0.0032116023877193367,,-0.044605541021842554,0.015281696880888873,0.02319000376128333,-0.1820312341054281,0.0,,0.005441417446926389,,0.0,-0.05954880696140241,-0.008845254171845673
2021-12-06,0.02150270156810108,0.011086219388703134,0.006382506298959312,0.014237870134133024,-0.003824128367467816,0.0,-0.02932338727655004,,-0.008664653354976792,0.009411733084862428,0.0034354117044477217,,,0.004179740067722593,-0.018214285584799428,0.03492512021912497,,0.008123074905552308,,,,,,0.005332682722805071,,-0.021896109946424436,,0.0007232401157184487,,0.05318088505750307,0.02233669740455846,0.004716981132075526,0.011813733921501202,-0.007425676548133309,,0.035947210294130505,-0.007812255210343455,,-0.02137314480057395,0.011288869587415817,-0.05140951271735017,0.03056353364205866,-0.009973980919340875,,0.002502373974245131,,-0.020998342236139278,0.07364025988038558,0.011947119061944678
