,CENCOSUD.SN,NVDA,MINEROS.CL,PROMIGAS.CL,GRUPOAVAL.CL,PFCIBEST.CL,CSPX.L,index
2016-01-24,0.02406795900026104,0.04942824750961883,-0.042105471421350904,-0.05717252088132896,-0.02475301066212221,0.003584572306946532,0.010557343091647686,-0.005331703775041774
2016-01-31,0.035898503783251545,0.029525287886566165,0.05769222310217215,0.021277266796139838,0.08121808447322199,0.037500071295234694,0.009088140342327966,0.035199294145279225
2016-02-07,0.005602989585861584,-0.0976442411734545,0.03636355581850159,0.0,-0.014065931890016037,0.05249551465879021,-0.015262898368386013,0.000673870419924949
2016-02-14,-0.0037834438983164187,-0.02648517718929222,0.0731724423763016,-0.014583520199518918,0.00956991418688391,-0.01390045261834083,-0.014217393001755618,-0.003152086403708454
2016-02-21,0.04667560431255935,0.18305499133311276,0.07981263209234268,-0.016913737808666007,0.033174809572059205,0.029021686243737355,0.033382521565791023,0.04360370174748596
2016-02-28,-0.004353662547645354,0.04073595043272782,0.026086704499559854,0.016160684433573103,-0.004587220438426076,-0.016921615257794564,0.01932651870270674,0.007868854637801181
2016-03-06,0.05088427472087731,0.027462010334207143,-0.023304987598664617,0.0,0.06923662195963964,0.05327838012145669,0.025106307010593687,0.03214500544369847
2016-03-13,0.03133471186303627,-0.006531915965373392,0.0675481987880624,0.0,0.012986935456618554,0.0272371880088651,0.007601703135689197,0.018346783641472575
2016-03-20,0.04756105547110878,0.04934819242667432,-0.04897937529051166,0.0,-0.021367693083850114,-0.007575307675794951,0.016151276519057012,0.0023217929039305307
2016-03-27,-0.01622318753865004,0.01981680730143842,0.07296050396392739,0.0031948673122002003,-0.008733696172849026,-0.028244458590579558,-0.010561482127406818,-0.0024560489185705414
2016-04-03,0.007889297341304502,0.048433588782367476,-0.0019993774657781627,0.014862148029773481,0.013216336697001951,0.016496248066683483,0.01801938440254114,0.016718585252319285
2016-04-10,0.013183469333032383,-0.01355457126412285,-0.030060417940444673,0.0,0.00876094709582742,0.004899859932470552,-0.004074686883935752,-0.0019327528423557228
2016-04-17,0.06738310101806633,0.04122260320432347,0.02177909971780778,0.025104435300593364,0.025973887965510256,0.07835488456893369,0.013733585757668587,0.03931897907227189
2016-04-24,0.022421867800491047,-0.023161785293547954,0.004098527519561301,0.014882323310561496,0.008438921156508128,0.025180092793287923,0.0020565238893797133,0.009214928513636478
2016-05-01,-0.05482538203316911,-0.02040249859117771,0.008163110287425557,0.01832988207774844,0.0,-0.011227899241369133,-0.014161080519591085,-0.00982459970089855
2016-05-08,0.002027645338318118,-0.005628901845407319,-0.056679783017201446,0.0,-0.021124388976274222,-0.07665006590440548,-0.0038513869861287464,-0.027982050709679962
2016-05-15,-0.0074186697332668805,0.15992124931026996,0.004386272316116102,0.0,0.03433472769341761,0.03843170357926562,0.009613436025890598,0.031268016788847275
2016-05-22,0.019202664550983517,0.08174683719680664,-0.00429173786307635,0.0,-0.029045108435690414,-0.004440744121939955,-0.0030532580206357185,0.004233371790804075
2016-05-29,0.06022629184387274,0.035416248345204515,0.004310236267263345,0.003008875243898368,-0.012820636549917053,-0.0304835569595443,0.019257756716362318,0.005681745191460141
2016-06-05,0.009865035409454714,0.015265532446138819,0.008583403036577897,0.0,-0.00878192556054791,-0.02454012627644997,-0.002291693556953911,-0.003557326007669781
2016-06-12,-0.02973555033164066,-0.006024034068378037,0.0216141531222509,-0.020000148453485855,0.021929811464915794,0.018081964631881275,0.005359619376909208,0.004407475595051613
2016-06-19,0.028600222546671716,0.011255594472712405,-0.002091552696397825,0.020408317839971213,0.0,-0.019304956462593448,-0.017211612886331884,-0.0022489218640411313
2016-06-26,0.015596448098036175,-0.021190211675495618,0.0,-0.006960291166770216,0.004292126323365064,0.03149597269270643,-0.003848790348644826,0.0043341831788710206
2016-07-03,0.009849478615499008,0.020336581015070188,0.048217920270854364,0.0,-0.008547212757499145,-0.027481067529873004,0.023726161133923007,0.006070199609530924
2016-07-10,-0.007865658620201166,0.0897987618902687,0.07200024926602744,-0.008080649425887931,0.004205606437795106,0.004588998545576928,0.010030451102072568,0.0202902997094474
2016-07-17,-0.06210380456158715,0.03638138240103128,-0.05279558163707865,0.0,0.004309929929435352,0.01891202742461351,0.01740395794825389,0.0024355507754048045
2016-07-24,0.030374893230099342,0.03738157383741436,-0.021956072313320196,0.0030398581620565412,0.0,0.005413986669848159,0.003697313174431338,0.007762753156105973
2016-07-31,0.01892371991461217,0.04444836909881911,-0.020408537463641685,-0.0835035723651616,0.008583926365546724,0.0,0.002799568017399112,-0.0013158621089165434
2016-08-07,0.010627913939501354,0.019264327528356384,-0.03958298584233266,0.0,0.004187857730332256,0.013846083257408326,0.003869366469152702,0.004458519978376874
2016-08-14,0.047429298609338755,0.08316160121235439,0.045926852422892184,0.0,0.008510634222850033,0.031107930407468842,0.002561445546873431,0.0287781295060765
2016-08-21,-0.006591789345179566,-0.012373337277910235,0.014583385092739043,0.0,0.03797488132148219,0.0,-0.0012409902525977179,0.0035655950254307456
2016-08-28,0.019600712219540517,-0.0036939004423115485,0.059548268587386044,0.025641342321313987,0.008129826398317164,0.04341451817762043,0.0016079610092318841,0.019618523677808142
2016-09-04,-0.005506742609447723,0.0099181107757913,-0.0891473773952165,0.0869565634381988,0.007999342689286815,0.031734538431871906,-0.002408032316921882,0.008418507511559925
2016-09-11,-0.012937377845705145,-0.04813668749560518,-0.01702141815737257,0.040000066666614265,0.028112404442556693,0.02323995481261254,-0.010021251359833894,0.0011329612566122194
