Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GEHC,GOOGL,IDSE.CL,IJPA.CL,INRA.CL,ISAC.CL,IUFS.CL,IUHC.CL,IUIT.CL,JETS,JNJ,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SDIA.CL,SGLD.L,SUAS.CL,UBER,VOO
2022-12-12,0.016390003778887774,0.01638799835988136,0.010809168509832157,0.016514890553465778,0.02028544644988539,-0.0018972163143836651,0.007499535749208919,0.015956820690687934,-0.0050912189427095855,-0.019628153725989694,0.021244279182074388,0.012658250484327338,0.021608315036128145,,0.0051706335465451225,,,,-0.013316916696367809,-0.004466184602296863,,0.03321545844910334,0.027056861104581165,0.011949347069224903,0.0025220680958386588,0.015511541422336572,0.11858408229820983,-0.010267529462575475,0.024218647854541198,0.022900741129903812,0.03140988231426678,-0.035480877184823956,0.008507184840231163,-0.012048111556255625,0.0021897810218978186,,-0.011305602414365179,-0.00017497812773403787,0.018079151163022944,0.014273030928058317
2022-12-13,0.006782591881080213,0.02142456926150338,0.0006108891703227037,0.0028254112401493447,0.017915585334673745,0.00799932274471371,-0.006015073227991441,-0.005668464845871246,0.027006509026640924,0.02283110437498359,0.00817251267255914,0.0,-0.003965812316662376,,0.024863385915422587,,,,0.0,0.020081179235206248,,0.016012712382349248,-0.028494659987938542,0.0077037424548824784,0.0,-0.0009686783944351518,0.0348100924392567,0.04742398761708211,0.006959909311951673,-0.034825837599464116,0.03062446308296729,-0.01839293646219886,0.017446386102201616,0.012195038743469722,0.0,,0.017703755940148946,0.0,-0.0018498388138733501,0.007390814133662271
2022-12-14,-0.01553595005125974,-0.009838858835905628,-0.014351133774915814,-0.009733224980113642,-0.013093047862840712,-0.000235709751615798,-0.0015128932579842047,0.0,-0.0023125549945731683,-0.004464322265406162,-0.006632450798590428,-0.009374978166076353,-0.01606296560071252,,-0.005855887126264281,,,,0.0,0.0,,0.0,-0.0005534161068470045,0.003068872511552856,0.0,-0.004997046761044066,-0.04587158906494271,0.011985054918381532,-0.012405848101080696,-0.015463963770208755,-0.022022917928366637,-0.09861940190899576,0.026568863443198865,-0.07228907787273275,0.0,,-0.0014544281078501253,0.0,0.018161593010818544,-0.006037142879361523
2022-12-15,-0.0468542350610337,-0.034177820705733164,-0.015799148214511227,-0.023861116359795376,-0.02957796640778909,-0.0007859043995596116,-0.005302999651847995,-0.002375206894537518,-0.03653701047484781,-0.022766466113243844,-0.03338274941745878,0.0,-0.032649938066766526,,-0.044283161589967035,,,,-0.011263628004728798,0.0,,-0.06520692974013476,-0.025470603437177552,-0.012627812695881424,0.0,-0.024810633220303857,-0.0096153757981291,-0.04474050096249793,-0.026379583916352423,-0.02094238877070942,-0.0408510926902137,0.027352280984999755,-0.015969387992774253,-0.04761908955895933,0.0,,-0.01893475652829102,0.0,-0.04477610385808661,-0.024594181518112324
2022-12-16,-0.014578815577982907,-0.006670394101153776,-0.0022032277823423874,-0.0063264007119386845,-0.006051125918915101,0.0001573405109089876,-0.0022848449398769066,0.005833278884399551,-0.013690788413023847,0.0028238589453406515,-0.06983895094591852,-0.02208201868294879,-0.014719074294987311,-0.05433329132800935,-0.0066035539978894775,,,,0.0,-0.05424083769633503,,0.0,-0.008522705413586351,-0.010254351563251052,0.0,-0.0062260151520378,-0.03883491549912932,0.02823926815630662,-0.02359237665393732,0.04278077150339543,-0.022475164024964855,-0.0021298787304986355,-0.04122361541058128,-0.1454545223351681,0.0,,0.006520787213532442,0.0,-0.010289651681356204,-0.011923030614041985
2022-12-19,-0.01590964922265814,-0.033462353983410575,0.011356341642018819,9.999593098952708e-05,-0.00947010549355165,-0.003774798231439669,0.030534331934590986,0.00485264752444281,-0.0054065540308917415,-0.0010559903839013618,-0.035478256242156725,6.45138638628584e-05,0.005280086529665162,-0.0042298060177862196,-0.02016393691559948,,,,-0.010428775449201289,0.00797165633303809,,-0.029601029601029616,-0.01547280492600911,-0.0010814577862606756,-0.006708595387840632,0.005955566468333284,-0.013468000494176735,-0.04144678213448849,-0.027371351221616713,0.0025641000560834293,-0.019129977647137197,0.03094980498666744,-0.0007781192661510117,0.058510623187596034,-0.004734158776402042,,-0.0004627593058487145,-0.02415120756037803,-0.03927603301439164,-0.008619153915234157
2022-12-20,-0.0005286134450698254,0.0031795134041781026,0.0040548947919019085,0.00656601416097824,-0.002731693858437967,-0.00031576346251172005,0.008888893230228678,0.00942279362904297,-0.002907549374058571,0.0014094755711846485,-0.01881955657412715,0.0012901940418554858,0.02908022989599912,0.01256635748938062,0.00655801688256874,,,,0.0008390669575433218,0.0,,0.0,0.004074487402839555,0.0010826286033933652,0.0,0.004843876799955238,0.0648463530624297,0.022798667087948754,0.0015525114712542365,-0.02046039907122854,-0.010397292868532082,0.03416144058917525,-0.000778892711046586,-0.060301545105727494,0.0,,0.014583357800671548,0.0,0.0004007343177341305,0.0015237602306499287
2022-12-21,0.023809509934809014,0.018546709195681466,0.01522218245179241,0.019271547431187974,0.02282606097261275,-0.0011054910796207684,0.005873750241443654,0.015169265655468278,0.018713403591009925,0.0038705351884680272,0.02702689418147175,0.017975648810874434,0.03298907982730892,-0.004369956620136173,0.0062907904465587805,,,,0.0,0.0,,0.01724137931034475,0.013333306796308841,0.01144195818000071,0.0,0.011248040145152904,-0.0032051252660429963,0.022803005438353674,0.12179066097012825,0.02088777120580798,0.025862452582714912,0.03103102803674429,0.006625162071012047,0.010695228255579003,0.0,,0.0009696450025291625,0.0,0.016025702746429227,0.014957012123108626
2022-12-22,-0.02377273542243563,-0.034343619255829294,-0.008874037421969128,-0.01666559924874933,-0.018299496390409953,0.0001580762297739291,0.0,-0.011494207904721665,-0.019439944140868026,-0.006659675060805559,-0.039898055722850656,0.018987375726491118,-0.014581944234398181,0.011236007891942013,-0.020317086388432548,,,,-0.02401073105298457,0.0,,-0.03520208604954367,-0.021166987504247392,-0.0036580725892760846,0.0,-0.011349918803725711,0.0032154311255849777,-0.02204406869688269,0.00803247970018739,-0.012787772285749344,-0.0704198861143458,0.019417464997638856,-0.00038718476706878224,-0.021164034334966053,0.0,,-0.011168765471054387,-0.034612625538020136,-0.02839121464410499,-0.014060381849363868
2022-12-23,-0.0027979239809861056,0.01742450254827599,0.0024700165925539697,0.012554057822588005,0.006137503682850376,-0.002292074721997772,-0.016058465543226652,0.010465064965981874,0.00654918656718384,0.00246999627548794,0.004420838546625561,0.021739130434782705,0.000244722310487111,-0.0017360942728286144,0.016750324787786486,,,,0.0,0.0,,0.0,0.007013379754771343,0.0025418240132051295,0.0,0.004745019119257288,-0.011217900223043697,0.00785516731603808,-0.00394126638860437,0.007772075291107017,-0.008670693939231033,0.056190499939420935,0.0036793468120268624,-0.04324327073655687,0.0,,0.0009220518828727542,0.0,0.0,0.005601430075948155
