,PFGRUPOARG.CL,PBR,PROMIGAS.CL,BOGOTA.CL,NVDA,ENKA.CL,CPAC,PFCIBEST.CL,AAPL,JNJ,index
2016-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16
2016-05-01,-0.024520624643708744,0.0708332918318193,0.01832968731662299,0.00031772681038533257,-0.020402596924838368,0.008264533984243538,0.040744862066079746,-0.011228015855994977,-0.11298241246436036,-0.01094257680040045,-0.009114079137423459
2016-05-08,-0.10382499556227243,-0.049286804338724455,0.0,-0.007487005998178975,-0.005628727652076226,-0.040983695144382715,0.02013435422568599,-0.07665013949797428,-0.010881087319928429,0.005888193509723694,-0.0223555190154322
2016-05-15,0.07926818686461257,-0.06139138278960954,0.0,0.03852248681833714,0.159920459402497,0.06837611342912964,0.0021931089208160337,0.038431850612571594,-0.01778364575274105,0.007273545003667614,0.030258647843408593
2016-05-22,-0.03954790892344695,-0.06249994876021392,0.0,-0.04173023768196815,0.08174691862977146,0.0,-0.0065646247043247286,-0.00444090384517426,0.05192209563381267,-0.008101559572109451,0.0033632963336298616
2016-05-29,-0.005882297771416356,-0.09457371904523681,0.0030093733701626046,-0.05000125294937674,0.03541697744983008,0.023999951001759,-0.009912005653671008,-0.03048328602128525,0.0538752511680296,0.010895034139444038,0.0005998003019758169
2016-06-05,0.01775157633080826,0.04280807942971032,0.0,0.002078996306397407,0.015265295876968565,-0.039062505192040575,0.011123493591473244,-0.024539896344398904,-0.024215138832734073,0.015036540070579196,-0.0013183285807640832
2016-06-12,0.04534847435531142,0.062397457908786924,-0.01999975455687908,0.011564760023814236,-0.0060242562786543274,-0.0243900225071505,0.0011002245143736378,0.0180817121084087,0.009293457368057423,0.01960580680271451,0.007981327779950753
2016-06-19,-0.02558387987577626,0.02318411291214484,0.020407907701937456,-0.0003364216182141222,0.011255786903190401,-0.03333343671260991,-0.04395602715430247,-0.019305026710615958,-0.03541436622722094,-0.01307550928684631,-0.01432484370423781
2016-06-26,0.03881274810535418,0.018126629517918325,-0.006959895979621655,-0.009754154576727347,-0.021190322007522244,0.0,0.016091920934945936,0.031496162236897884,-0.020245077115970456,0.0012988354440524041,0.0022902545669702956
2016-07-03,-0.02087907508389386,0.10830880568887125,0.0,-0.006454693225511954,0.020337262074320073,-0.008620671479945163,-0.015837072024093235,-0.02748069098747008,0.026659141977512624,0.048949216538769935,0.012862612031544263
2016-07-10,-0.020201882525492487,0.0,-0.008081045660439545,0.011472793693276806,0.08979817231913945,0.0,0.004597539385662097,0.004588356368747215,0.008238736728198859,0.01286169403087678,0.015129227673233103
2016-07-17,0.056898740345719956,0.08835331878179109,0.0,-0.007465193936904813,0.036381350367142185,0.04347835333302563,0.08009148752341066,0.01891249284614216,0.021720856033992098,0.0012209972560037752,0.03193960056903489
2016-07-24,-0.011969514966193473,0.040590514525192134,0.0030395570437404817,0.008546847958512016,0.03738194412763218,-0.01666689557792178,-0.022245819752252705,0.005414038306093438,-0.0012146792641690718,0.016504308821001512,0.007149720343041954
2016-07-31,-0.0022024690962504367,0.026004763258617558,-0.0835033053130827,-0.008474418392970362,0.044448367336186845,0.0,-0.027085498790091034,0.0,0.056253813745979375,0.001599424395469562,0.005735944216604727
2016-08-07,-0.023179060721783773,-0.03686629827196852,0.0,0.005663326306848182,0.019264260634454633,0.0,0.02783954680129419,0.013845913230986051,0.031378779448254956,-0.00790550758192854,0.006417963986286468
2016-08-14,0.025988787069191055,0.04425816141146033,0.0,-0.000341247713991355,0.08316150153121415,0.0,-0.008667287256466705,0.03110781713280586,0.011965670979912524,-0.008209889709308915,0.01988938347227487
2016-08-21,0.02202640723587379,0.08018345992022291,0.0,0.01570469757408155,-0.012373158998248313,0.008474649583219751,0.0021858171668658333,0.0,0.010907429114640266,-0.026781360171378332,0.004560038848363979
2016-08-28,0.010775970298730453,-0.03393445137386686,0.025641235827080777,0.008403448516034473,-0.003694255590530937,0.0,0.06215921097018895,0.0434142549034493,-0.022128382133461577,-0.0007162331260648358,0.008023165211279215
2016-09-04,0.01172698181285381,0.0515916500431679,0.0869566885354387,0.02054894169202881,0.009918335754798058,0.0,-0.018480511781497566,0.03173490317013239,0.00738710271112919,0.002352313355037605,0.01540730879520491
2016-09-11,0.026343275511519826,-0.007306628854896746,0.0400002666664836,0.05442629434646218,-0.048136962833535746,0.008403522785059403,0.012552443749436648,0.023239745463873085,-0.04269949022258768,-0.009134757096466495,-0.0022062516816447886
2016-09-18,-0.04004099900367197,-0.043112393132194615,0.09615337843761451,-0.02052194643196925,0.055779669300317636,0.0,0.026771073020980918,-0.022043863740142555,0.11432183724688105,0.00016885021134371847,0.021301824818953374
2016-09-25,-0.010694820039062858,0.008790904616041706,-0.032348882516916366,-0.00793706766991531,0.03357741709932882,0.0,0.005246717511857568,-0.04371606591606436,-0.01923073161398392,0.004735637357235367,-0.003456096952729748
2016-10-02,-0.01945984323981742,0.016339648980887356,0.03636352163505863,0.008000568725285984,0.054965312836851465,0.0,-0.016701401876490385,0.0035717475938104037,0.0030164602286852915,-0.005723557461388085,0.010347563592386422
2016-10-09,-0.007717510606606637,0.12861755717859724,-0.0350876124795364,0.0011795454822722817,-0.024372544956087205,0.0,-0.002123382396149953,-0.008416580379637661,0.008933938346030512,0.009396611111083253,0.004309935834189815
2016-10-16,0.02305407260169412,0.05792993076394137,-0.03636369938355932,-0.025469959638415696,-0.012864661928955079,0.0,0.0010639503715641485,0.023154950093652982,0.03129957164550756,-0.01408937406085864,0.004169903025254218
2016-10-23,-0.0229008667181565,0.09245959353427113,0.011836633958313358,0.0016337226846545594,0.02348866175818687,0.0,0.024442014992513972,0.011315114042862673,-0.008756168663599406,-0.03504561470100187,0.010314955770804657
2016-10-30,0.0011161826355898796,-0.02465090829590122,0.0,-0.011089387185155841,0.04471403633683457,-0.03333343671260991,-0.01037332760584242,-0.00349635548474303,-0.02469975804991853,0.01666054011953877,-0.0012859854068681953
2016-11-06,-0.0011149381609748543,-0.104465153719425,0.0,-0.005828202087779677,-0.04237523142826405,0.03448286925250765,-0.009434004480112668,0.019649392972556523,-0.04291269164236777,-0.0019074928259628088,-0.018997467996347273
