,PFGRUPOARG.CL,PBR,PROMIGAS.CL,BOGOTA.CL,NVDA,ENKA.CL,CPAC,PFCIBEST.CL,AAPL,JNJ,index
2016-04-17,0.05290498491246936,0.06953244077992454,0.07043038037181239,0.07547029624303343,0.1032582963870733,0.11010211658769162,0.11489096586100234,0.1251142314402395,0.1282962874167534,0.15,1.0
2016-04-24,0.05290498491246936,0.06953244077992454,0.07043038037181239,0.07547029624303343,0.1032582963870733,0.11010211658769162,0.11489096586100234,0.1251142314402395,0.1282962874167534,0.15,0.9999999999999999
2016-05-01,0.051607721635649625,0.07445765244946763,0.07172134722161853,0.07549427517953756,0.10115155898674236,0.11101205927196774,0.11957218241764755,0.12370944686581788,0.11380106335418763,0.14835861347993992,0.9908859208625764
2016-05-08,0.046249550165849314,0.07078787270166997,0.07172134722161853,0.0749290490884402,0.10058220440962307,0.10646237487741526,0.12197969109398281,0.1142271005063357,0.11256278404673001,0.1492321777049441,0.968734151816609
2016-05-15,0.049915668150800126,0.0664421073117796,0.07172134722161853,0.07781550239426017,0.11666735674652585,0.11374185829796794,0.12224720584267941,0.11861705936890239,0.11056100737030067,0.15031762466547632,0.998046737370311
2016-05-22,0.04794160785291928,0.062289479009272744,0.07172134722161853,0.07456824298400594,0.12620455366523461,0.11374185829796794,0.12144469881516988,0.11809029241384777,0.11630156656835208,0.14909981747451098,1.0014034643028997
2016-05-29,0.047659601039887936,0.05639853132197561,0.07193718353401946,0.07083973740457207,0.1306743374964621,0.11647165732396818,0.12024093827390554,0.11449051225385924,0.12256734267845737,0.15072426507608067,1.0020041064031882
2016-06-05,0.04850563408564337,0.05881284413052574,0.07193718353401946,0.07098701295698234,0.13266911992187244,0.1119219826050251,0.12157843758022806,0.11168092695073241,0.11959935745913923,0.15299063652750575,1.000683135751674
2016-06-12,0.05070529058906429,0.062482616096656264,0.0704984575198259,0.07180796072663724,0.13186988714319955,0.10919220293024363,0.12171220115767306,0.11370030931985577,0.12071084898893279,0.15599014138988834,1.008669915861977
2016-06-19,0.04940805252556734,0.06393122012328734,0.07193718353401947,0.07178380297628893,0.13335418649183117,0.1055524515443579,0.11636221633857646,0.11150532181143065,0.11643595077523997,0.15395049084748838,0.9942208769680875
2016-06-26,0.051325714822618294,0.06509007766509065,0.07143650821955574,0.07108361266595287,0.1305283683390181,0.1055524515443579,0.11823470792371192,0.11501731151748099,0.1140786959727239,0.15415044720163038,0.9964978958721408
2016-07-03,0.050254081369102324,0.07213990623919249,0.07143650821955574,0.07062478975283303,0.1331829579740621,0.10464251853569116,0.11636221633857646,0.11185655632145951,0.11711993612527023,0.16169599082125122,1.0093154616969944
2016-07-10,0.04923885432085718,0.07213990623919249,0.07085922653481115,0.07143505339529833,0.14514254418418962,0.10464251853569116,0.116897196211196,0.11236979406404321,0.11808485644462981,0.1637756751812136,1.0245856251111225
2016-07-17,0.052040483107780366,0.07851370637203238,0.07085922653481115,0.07090177686780928,0.15042302593733303,0.10919220293024363,0.1262596665430667,0.11449498699040189,0.12064976061125823,0.16397564483121002,1.0573104807259466
2016-07-24,0.05141758376637385,0.08170061811095303,0.07107460719593904,0.0715077635746868,0.15604613108843177,0.10737230788608201,0.1234509167591701,0.11511486723582359,0.12050320984881678,0.16668194951262716,1.0648699549789042
2016-07-31,0.051304338127124545,0.08382522334301108,0.06513964257124912,0.0709017768678093,0.16298212684444116,0.10737230788608201,0.12010718710265396,0.11511486723582359,0.12728197497144478,0.16694854468896209,1.0709779896386016
2016-08-07,0.050115151758385,0.08073489765653326,0.06513964257124912,0.07130331676594705,0.16612185701473023,0.10737230788608201,0.1234509167591701,0.11670873769916729,0.13127592799181206,0.16562873170313155,1.0778514878062075
2016-08-14,0.051417583766373856,0.08430807578855384,0.06513964257124912,0.07127898467210067,0.17993680008122886,0.10737230788608201,0.12238093220154421,0.12033929176931359,0.13284673255374477,0.16426893808315612,1.0992892893733472
2016-08-21,0.052550128405496666,0.09106818900449647,0.06513964257124912,0.0723983995697636,0.1777104134441878,0.10828225057035815,0.12264843454404739,0.12033929176931359,0.13429574887218632,0.15986959248738128,1.1043020912384802
2016-08-28,0.05311640702838877,0.08797783997301727,0.06680990350811027,0.0730067957931914,0.17705390575582605,0.10828225057035815,0.13027216446203424,0.12556373245708713,0.1313240012222432,0.15975508858939133,1.1131620893596477
2016-09-04,0.053739302167574825,0.09251676190445901,0.07261947147854772,0.07450700818306755,0.17880998583981073,0.10828225057035815,0.12786466819189243,0.1295484853482932,0.13229410510770837,0.16013088261781538,1.1303129214095273
2016-09-11,0.05515497141037206,0.09184077626236628,0.07552426970286873,0.07856214854131345,0.1702026161971747,0.10919220293024366,0.12946968224691155,0.1325591591730178,0.1266452142601558,0.15866812590145885,1.1278191666258828
2016-09-18,0.0529465112550818,0.08788130061057722,0.08278618338883313,0.0769499003373682,0.179696461842702,0.10919220293024366,0.13293572456434682,0.12963704313069993,0.1411235278329017,0.1586949170480508,1.1518437729408053
2016-09-25,0.05238025784551248,0.08865385674177849,0.08010814286836387,0.07633914377119727,0.18573020489326802,0.10919220293024366,0.13363320075837007,0.12396982160803457,0.13840961914472857,0.15944643862562694,1.1478628891871239
2016-10-02,0.05136094623897759,0.09010242964174102,0.08302115705470199,0.07694990033736822,0.19593892370847904,0.10919220293024366,0.13140133896846282,0.12441261052006819,0.13882712625614613,0.15853383777213947,1.159740473428328
2016-10-09,0.05096456759161293,0.10169118403811818,0.08010814286836387,0.07704066624467247,0.1911633934817468,0.10919220293024366,0.13112232367846666,0.12336548178338548,0.14006739924287515,0.1600235185936318,1.1647388804531171
2016-10-16,0.05213950843298392,0.1075821472887496,0.07719511444292347,0.07507844358490401,0.1887041410514123,0.10919220293024366,0.13126183132346472,0.12622200335735922,0.14445144884067743,0.15776888738163136,1.1695957286343497
2016-10-23,0.05094546849960996,0.11752914889861148,0.07810884475595446,0.07520110094131723,0.19313654879293812,0.10919220293024366,0.1344701349726177,0.12765021972006635,0.14318660759092716,0.15223977974264896,1.1816600568449351
2016-10-30,0.051002332946911214,0.11463194862701649,0.07810884475595446,0.07436716681622897,0.20177246345363636,0.10555245154435793,0.1330752322093449,0.12720390917421945,0.13964993302744264,0.1547761767008411,1.1801404592559535
