Date,CNEC.CL,AAPL,AMZN,BAC,BAP,BRK-B,BVN,C,CBU7.L,CFMITNIPSA.SN,CSPX.L,EIMI.L,F,GOOGL,IJPA.L,JETS,JNJ,JPM,META,NKE,NVDA,PBR,PFE,SCCO,SGLD.L,SPXS.L,SUAS.L,URA,VOLCABC1.LM,VOO
2015-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026717045513756865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-27,0.055555569740972865,0.01886280632194115,-0.0020327360684919693,0.030429601415698615,0.03994180000224179,0.03366016097769342,0.0740739117981668,0.029291237320302255,-0.0011977389793645932,0.008542283450556853,0.019229264539253554,0.019548840838789827,0.03695664862532233,0.011878170897780427,0.004249488266665047,0.03319843287122226,0.01736108848920348,0.03416108106253324,0.009419339225185563,-0.016806786166842502,0.03204676907805726,0.04137969934317631,0.019694036077070765,0.08115730436779223,0.00645256713334752,0.01901626234636833,0.0,0.04038908625148019,-0.04545454218256928,0.02228837096232672
2016-01-03,-0.07120747602421118,-0.02564098749159771,0.01976489645081614,-0.02547769124150223,-0.02660536750966025,-0.013817358368429788,-0.01609194839639383,-0.018212525582601224,-0.0017780048060390685,0.006660486345281935,-0.00044364445277600417,-0.01438050835998217,-0.015374087217638555,0.015891107086783984,0.009672047866986277,-0.023511114782320375,-0.00964131101647736,-0.008558529275184634,-0.0034277860967913965,-0.010762963863375719,-0.006330926708467688,-0.050772803630394714,-0.010423353897754617,-0.029357383454651442,-0.011540142708114987,-0.00047075383049155484,0.0,0.005751045405997468,-0.10000000754112615,-0.002474096729592201
2016-01-10,-0.03999987759119261,-0.07885233394624203,-0.10185082444174165,-0.0968508834384948,-0.08055900218554835,-0.028097482912154637,-0.011682120382024097,-0.1085990332252823,0.009154514815265635,-0.033031311190750756,-0.06027932926177337,-0.07818935131025029,-0.11000694313226755,-0.06053900870669582,-0.05433314453026861,-0.07508270119673421,-0.0443923397779874,-0.10767820350166468,-0.0700363585101218,-0.05808008819497035,-0.10103135737127866,-0.1279068590799467,-0.03965294530831842,-0.07848394168449935,0.04122226317005273,-0.0613206499253417,0.0,-0.04112777532294676,-0.10052916082264307,-0.05863163345898925
2016-01-17,-0.10937511763228513,0.0017534040528874861,-0.06073635060450744,-0.04868428021340476,-0.022015852607148334,-0.017065397102459134,-0.11111111776984905,-0.07934079715036013,0.006321355290156205,-0.02142327495615637,-0.02900323005121841,-0.0416666924695438,-0.045454709984093955,-0.0279377834747635,-0.027223824191121793,-0.04519785837271906,-0.011817359193463162,-0.02541315813321865,-0.02424727355899381,-0.022252092416693348,-0.08504894946877606,-0.12800014138788762,-0.006129210276288544,-0.056501557139536196,-0.014765581996206145,-0.027949279248325132,0.0,-0.09581748243494848,-0.011764556834202411,-0.021708215166277967
2016-01-24,0.0896687544854291,0.04416763152682823,0.045950381640319726,-0.06224036917973286,0.040909153045515234,0.007134941574708398,-0.02925537276196022,-0.03319991888234641,-0.001550028051623964,0.013460679766781558,0.010557343091647686,0.02540941762859794,0.014202268286854558,0.04921938394624936,0.00048816456949341003,0.02731003248127495,-0.0025773883094555305,-0.001578065713703669,0.03127297087969416,0.05767880368907008,0.04942815737475348,-0.07339461918630175,-0.0032455934475928983,0.04007040440297582,0.010537654341411962,0.010825328539941781,0.0,0.03195958468406057,0.07738080874046616,0.014580148459160558
2016-01-31,0.07155616947092658,-0.040228957956701006,-0.015728222235185663,0.04277262591869868,0.11274596525700376,0.02148932097968781,0.09589044045202955,0.03701853974169467,0.006944999414657982,0.04887465510932665,0.009088140342327966,0.029735733483736704,-0.01647474254858239,0.021315745512816564,0.019190054614874663,-0.011076631550052785,0.07948304885257818,0.04477593328249374,0.1457013890304062,0.018561198013069324,0.029525290422478534,0.14521446440343788,-0.007163797382879533,0.09737475863999379,0.014784272040788915,0.007908330133559183,0.0,0.03993487867244516,0.28729284764978713,0.017691731380534925
2016-02-07,0.020033556876270397,-0.034107223804306086,-0.14458261331194155,-0.08415854637108355,-0.020422449624936334,-0.02473612243340584,0.21499996799585674,-0.06272389236004028,0.003083454149622522,-0.012706505513574107,-0.015262898368385902,-0.0032086294568463014,-0.008695512132867678,-0.0756420523867738,-0.03701930369568518,-0.04211462995086157,-0.037341746232190776,-0.029411511852886818,-0.0725425461589575,-0.07805198326134544,-0.09764399904059728,-0.06628227134939979,-0.04788462769891988,0.02237672782533795,0.035577242634599715,-0.013619535447941589,0.0,0.0007837005380257889,0.2446352783108674,-0.03060480528727838
2016-02-14,-0.026186602714178497,0.005105556737730721,0.009857983381798663,-0.07721975649085555,0.11541952292215041,0.011931177265754211,0.12962957553765597,-0.05820417463171812,0.004287322177005226,0.003004428253881253,-0.014217393001755618,-0.030579383770836577,0.008733508143876412,0.004447661577944961,-0.06213753263984012,0.014967161272127827,0.012730985277261464,-0.004502111356331495,-0.019794368820206798,-0.013118666360902087,-0.026485449653635418,-0.037037317973897976,0.021535516853044,-0.004905931431018917,0.06813670098452995,-0.014617083268329889,0.0,-0.05794852481441748,0.0,-0.006789716414782876
2016-02-21,0.14285697402173692,0.021811116713957635,0.05486316725793916,0.015062487039723349,0.019864624503723505,0.023268490334313663,-0.05646628150950084,0.0386256895539967,-0.0012082281436592845,0.023695346592285782,0.033382521565791023,0.037631450838959024,0.047619317522413995,0.021530868160663852,0.05583038750181135,0.07096764746080408,0.022981843714843908,0.005739798177137878,0.02509561858940068,0.0512229020795707,0.18305500871769653,0.009615734761221129,0.0044277745427325765,-0.0982776047605608,-0.003633318064043989,0.03255870370706049,0.0,0.047381751250808346,0.03448286407091539,0.028806237585811134
2016-02-28,0.1147060976250125,0.009058256214716565,0.038007049309292995,0.04699118109021505,0.04984515132210898,0.006638650110095012,0.0,0.013080144130987126,-0.0008468012655934443,-0.011492199375872536,0.01932651870270674,-0.0031999715169270804,0.030578417516814893,0.0038083378274025304,0.03045521353145153,0.03657491535288382,0.022912891668262603,-0.004842460075192623,0.0320358138315604,0.05547111845651753,0.0407358734282548,0.07301607644084229,0.025093204220341114,0.037053049268892746,-0.009945338481815003,0.020042189167711832,0.0,-0.007936523099022708,0.26666650478384835,0.016527851010786243
