Date,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CIBEST.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFCIBEST.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AGUAS-A.SN,AMZN,ANDINA-B.SN,BAC,BAP,BRK-B,BSANTANDER.SN,BVN,C,CBU7.L,CENCOSUD.SN,CFMITNIPSA.SN,CHILE.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,CPAC,CSPX.L,ECL.SN,EIMI.L,ENELCHILE.SN,ENTEL.SN,F,FALABELLA.SN,GE,GOOGL,IAM.SN,IJPA.L,ITAUCL.SN,JETS,JNJ,JPM,META,NKE,NVDA,PARAUCO.SN,PBR,PFE,RIPLEY.SN,SCCO,SGLD.L,SMU.SN,SPXS.L,SUAS.L,URA,VAPORES.SN,VOLCABC1.LM,VOO
2023-09-24,21601.6875,6702.48486328125,1979.4505615234375,3624.639404296875,24366.48046875,32919.33203125,230.0,12173.658203125,1538.367431640625,16.843059539794922,61.0,2667.29248046875,1315.1834716796875,44078.91796875,8121.0205078125,409.2906494140625,27831.435546875,10458.021484375,10258.0615234375,12996.6455078125,1806.9017333984375,42172.16015625,431.2580261230469,20810.490234375,9899.283203125,16200.0,5218.6357421875,9568.1357421875,3484.076171875,5287.76953125,172.92689514160156,250.62078857421875,129.1199951171875,1792.7056884765625,26.135347366333008,122.00408935546875,360.1600036621094,37.0479621887207,8.334251403808594,37.894264221191406,125.58000183105469,1651.3876953125,3074.040771484375,82.52168273925781,125.36885070800781,964.2434692382812,6129.70361328125,4.258495807647705,455.1199951171875,851.2660522460938,29.809999465942383,48.580596923828125,2680.8046875,10.64946460723877,1987.678466796875,87.68724822998047,129.27325439453125,578.39453125,48.619998931884766,8140.6318359375,17.170000076293945,149.75462341308594,138.3597412109375,297.24749755859375,86.9749984741211,41.583168029785156,1160.6229248046875,11.170693397521973,28.34603500366211,165.2965087890625,67.39339447021484,186.11000061035156,145.61741638183594,843.6300048828125,12.880000114440918,24.57319450378418,53.48710632324219,0.38999998569488525,385.0779113769531
2023-10-01,21774.5,7203.775390625,2196.229248046875,4217.2939453125,23969.70703125,32879.33203125,230.0,13227.5,1697.4208984375,16.843059539794922,80.0,2744.886962890625,1432.4349365234375,46352.81640625,8560.4912109375,421.0007019042969,29287.091796875,10836.501953125,10582.9697265625,12757.2353515625,1798.902099609375,44334.1484375,452.8209533691406,20650.34765625,9920.0673828125,17500.0,5846.109375,10624.5263671875,3558.006591796875,5428.96240234375,169.3850860595703,233.19044494628906,127.12000274658203,1794.5010986328125,25.889501571655273,118.5396957397461,350.29998779296875,37.35662078857422,8.31473445892334,38.0887451171875,125.4800033569336,1656.302490234375,3074.556640625,83.81846618652344,120.9795913696289,930.0536499023438,6299.6953125,4.266748905181885,450.75,816.9573974609375,29.420000076293945,46.69548416137695,2560.896484375,10.640897750854492,1935.817626953125,87.13551330566406,129.87867736816406,569.7691040039062,47.36000061035156,7858.9775390625,17.030000686645508,145.32260131835938,137.68565368652344,298.3706359863281,91.54157257080078,43.4709587097168,1212.433837890625,11.104024887084961,28.762252807617188,163.24436950683594,67.89842987060547,179.00999450683594,139.03125,835.760009765625,12.744999885559082,24.802505493164062,53.277198791503906,0.38100001215934753,380.9454345703125
2023-10-08,21826.345703125,7343.34375,2040.39013671875,4139.99072265625,24002.615234375,32199.599609375,219.38999938964844,12890.7998046875,1693.114501953125,16.843059539794922,68.26000213623047,2618.79638671875,1333.22216796875,45478.234375,8157.64453125,443.1983337402344,30537.6015625,10751.841796875,10423.33203125,12056.1005859375,1764.90380859375,45659.16015625,456.60272216796875,21321.486328125,10231.1533203125,16010.0,6142.1708984375,11143.201171875,3598.97412109375,5341.39892578125,175.59815979003906,227.99530029296875,127.95999908447266,1732.649658203125,24.65081214904785,117.54853057861328,346.3399963378906,37.038883209228516,7.924370765686035,37.57014465332031,124.70999908447266,1587.49462890625,2982.562744140625,84.2908706665039,118.15007019042969,897.9819946289062,6150.70263671875,4.151208400726318,447.4599914550781,796.3982543945312,29.200000762939453,45.39838790893555,2457.518798828125,10.281061172485352,1900.918701171875,87.92386627197266,136.5482940673828,546.0255126953125,46.400001525878906,7838.99072265625,16.770000457763672,147.08609008789062,137.76162719726562,313.49737548828125,92.9679946899414,45.73249053955078,1134.9073486328125,10.437338829040527,28.727567672729492,164.76373291015625,66.67193603515625,176.8699951171875,137.27552795410156,829.6900024414062,12.555000305175781,23.995323181152344,53.796974182128906,0.3580000102519989,384.2099304199219
2023-10-15,22253.931640625,6959.64501953125,2043.7962646484375,3997.409912109375,24386.65625,31799.603515625,230.89999389648438,12938.900390625,1855.3204345703125,16.843059539794922,77.0,2618.79638671875,1352.900634765625,45040.9375,8420.0849609375,443.1983337402344,29612.216796875,10956.0224609375,10611.140625,12192.90625,1779.9029541015625,44763.8828125,452.0819396972656,20888.123046875,10356.1416015625,16500.0,6093.28857421875,11045.140625,3654.031005859375,5333.43798828125,176.9436492919922,233.5646514892578,129.7899932861328,1759.490966796875,25.303251266479492,115.48286437988281,345.0899963378906,36.53958511352539,8.1878662109375,38.36655044555664,125.41999816894531,1489.296142578125,3044.621826171875,84.01298522949219,135.70709228515625,923.5036010742188,6374.69189453125,4.101690769195557,453.45001220703125,816.6574096679688,29.270000457763672,47.56021499633789,2465.82666015625,10.118277549743652,1898.9688720703125,86.27536010742188,136.3299102783203,574.0604248046875,46.59000015258789,7809.193359375,15.899999618530273,146.3489532470703,141.55177307128906,312.7619323730469,95.64857482910156,45.43168640136719,1148.1920166015625,11.43736743927002,27.843111038208008,154.89764404296875,65.05767059326172,185.42999267578125,148.29998779296875,840.5700073242188,12.649999618530273,23.206485748291016,51.57792282104492,0.34299999475479126,386.0211486816406
2023-10-22,22262.662109375,6959.64501953125,2255.041748046875,4163.47900390625,23922.603515625,28189.6484375,235.0,12506.0,1848.143310546875,16.843059539794922,77.0,3464.57080078125,1369.299560546875,44869.73828125,8596.861328125,442.1346130371094,30074.91015625,10956.0224609375,10733.216796875,12825.6376953125,1834.900146484375,43859.6640625,425.4888916015625,21045.708984375,10356.1416015625,16310.0,5939.828125,10964.91015625,3569.053955078125,5333.43798828125,171.03726196289062,234.95700073242188,125.16999816894531,1723.582763671875,24.877750396728516,114.76034545898438,335.8599853515625,36.7029914855957,8.334251403808594,36.74595260620117,124.41999816894531,1437.1004638671875,2967.16552734375,84.7540054321289,129.96807861328125,945.3387451171875,6458.6875,4.118196487426758,442.79998779296875,814.967529296875,28.479999542236328,44.983314514160156,2483.812744140625,9.972628593444824,1803.4356689453125,83.67242431640625,134.58314514160156,561.3825073242188,45.56999969482422,7563.9384765625,15.130000114440918,142.75674438476562,136.7218017578125,306.7589111328125,98.29084777832031,41.36031723022461,1176.5648193359375,12.007753372192383,26.577119827270508,157.85748291015625,63.30813217163086,192.38999938964844,148.74562072753906,821.3800048828125,12.3100004196167,23.5642147064209,51.98774719238281,0.3449999988079071,376.83856201171875
2023-10-29,21826.140625,6531.044921875,2109.385498046875,4187.91748046875,23386.544921875,21099.736328125,249.89999389648438,12506.0,1772.7821044921875,16.843059539794922,78.69999694824219,3448.08203125,1379.138916015625,44521.4296875,8461.9541015625,409.1607360839844,30537.6015625,10956.0224609375,10376.3818359375,12312.6123046875,1781.9193115234375,44048.05859375,416.6245422363281,20722.65625,10400.7802734375,16300.0,5957.88134765625,10786.619140625,3600.49560546875,5253.83447265625,166.42691040039062,228.86550903320312,127.73999786376953,1641.892333984375,23.799806594848633,115.89970397949219,331.7099914550781,36.557743072509766,8.23666000366211,35.41243362426758,124.7699966430664,1452.92626953125,2932.6123046875,84.51317596435547,124.82894134521484,954.6021728515625,6299.6953125,4.076931953430176,433.510009765625,826.3670654296875,28.350000381469727,46.436065673828125,2526.636962890625,8.533280372619629,1803.4356689453125,83.88538360595703,121.25384521484375,547.8001708984375,45.459999084472656,7405.966796875,14.739999771118164,135.85215759277344,129.77810668945312,294.9120178222656,93.8009033203125,40.47389221191406,1138.7030029296875,11.35588264465332,26.108877182006836,155.4106903076172,64.50755310058594,191.13999938964844,142.5961456298828,803.8400268554688,12.095000267028809,23.188142776489258,53.16724395751953,0.3319999873638153,367.4222106933594
2023-11-05,21845.126953125,7347.42578125,2066.390380859375,4056.118408203125,24002.615234375,19909.751953125,251.0,12506.0,1765.6048583984375,16.843059539794922,78.69999694824219,3412.195068359375,1432.4349365234375,44676.5546875,8187.48876953125,445.4822998046875,30250.73046875,10856.4208984375,10302.197265625,12526.373046875,1779.9193115234375,43393.171875,410.892822265625,21250.572265625,9820.478515625,15700.0,5804.42041015625,10697.4716796875,3484.076171875,5269.75537109375,174.76710510253906,233.16433715820312,138.60000610351562,1741.5369873046875,26.872886657714844,112.61131286621094,351.80999755859375,36.848243713378906,8.23666000366211,39.13517761230469,126.6500015258789,1449.8790283203125,2959.793701171875,87.6161880493164,131.16787719726562,933.8068237304688,6449.58837890625,4.151208400726318,456.94000244140625,824.9671020507812,29.690000534057617,46.24582290649414,2714.46484375,9.047332763671875,1851.2022705078125,85.91252136230469,128.13189697265625,551.076171875,48.599998474121094,7288.8857421875,15.9399995803833,141.20785522460938,136.76962280273438,312.6724853515625,102.49360656738281,44.975982666015625,1141.739501953125,11.615150451660156,27.106060028076172,155.0357666015625,66.96953582763672,192.10000610351562,141.9544677734375,847.0900268554688,12.75,24.76581573486328,52.07771301269531,0.3199999928474426,388.9619140625
2023-11-12,21862.7734375,7755.61572265625,2149.748291015625,4399.14599609375,24562.67578125,19499.7578125,239.0,12044.240234375,1686.6551513671875,16.843059539794922,78.5,3412.195068359375,1418.4959716796875,43464.80859375,8559.6455078125,396.61956787109375,30500.583984375,10856.4208984375,10329.4287109375,12774.3349609375,1759.9205322265625,43330.37109375,399.2806091308594,21494.83203125,9820.478515625,15860.0,6129.396484375,10786.619140625,3484.076171875,5229.95361328125,184.4131622314453,236.69740295410156,143.55999755859375,1813.3529052734375,26.173168182373047,113.50057220458984,350.55999755859375,37.31122589111328,8.705096244812012,39.47445297241211,125.97000122070312,1508.857177734375,2953.759765625,87.30125427246094,128.07839965820312,944.2988891601562,6380.69189453125,4.275001525878906,457.80999755859375,811.0276489257812,29.450000762939453,46.69548416137695,2585.220947265625,8.579323768615723,1844.4759521484375,90.92118072509766,131.59568786621094,571.68017578125,46.994998931884766,7426.412109375,15.6899995803833,137.39169311523438,140.05015563964844,326.7556457519531,101.58412170410156,48.3038444519043,1129.2137451171875,11.281806945800781,25.562591552734375,157.43324279785156,63.73198699951172,187.10000610351562,141.767333984375,849.0900268554688,12.595000267028809,24.637399673461914,49.79868698120117,0.33000001311302185,394.23974609375
2023-11-19,21139.30859375,8163.806640625,2162.91015625,4351.140625,24162.62890625,21099.736328125,239.0,12217.400390625,1779.959228515625,16.843059539794922,78.5,3412.195068359375,1459.492919921875,43377.87109375,8606.1640625,414.4852600097656,30074.91015625,11025.7412109375,10536.017578125,13560.974609375,1699.923095703125,43135.55859375,401.96038818359375,21888.798828125,9820.478515625,15800.0,6273.82958984375,11054.0556640625,3454.334228515625,5468.7646484375,187.9153289794922,245.39950561523438,145.17999267578125,1802.5804443359375,28.347965240478516,118.34516143798828,358.92999267578125,38.17365264892578,8.568469047546387,42.55135726928711,126.87999725341797,1552.1077880859375,3030.63720703125,87.63471984863281,136.94691467285156,948.3634643554688,6504.685546875,4.431806564331055,471.82000732421875,835.9566650390625,30.34000015258789,47.81963348388672,2629.329833984375,8.936073303222656,1959.4083251953125,94.59685516357422,134.29530334472656,597.2154541015625,48.459999084472656,7738.13818359375,16.719999313354492,139.76162719726562,146.16177368164062,332.98724365234375,101.4405288696289,49.2662239074707,1242.040283203125,11.881824493408203,26.293914794921875,154.95684814453125,68.33197784423828,191.27000427246094,143.3269805908203,874.9500122070312,13.107500076293945,26.279281616210938,51.56793212890625,0.31700000166893005,403.44183349609375
2023-11-26,21456.927734375,8490.359375,2193.620361328125,4678.45849609375,23714.58203125,20699.7421875,239.0,11582.48046875,1848.143310546875,16.657970428466797,78.5,3412.195068359375,1516.8887939453125,42831.234375,8782.9404296875,400.1927185058594,29149.525390625,11140.283203125,10629.921875,13030.84765625,1679.9239501953125,43872.765625,390.3480529785156,22203.970703125,9963.322265625,15600.0,6327.99267578125,10875.763671875,3509.56982421875,5572.2490234375,188.19273376464844,239.30804443359375,146.74000549316406,1858.148193359375,28.111570358276367,119.14178466796875,362.67999267578125,37.94669723510742,8.92955493927002,42.42940139770508,126.88999938964844,1553.0908203125,3033.27490234375,88.64434814453125,136.8769073486328,1004.6056518554688,6499.685546875,4.060426235198975,477.0,820.8572998046875,30.540000915527344,47.88880920410156,2612.2001953125,9.049186706542969,1922.3648681640625,94.62840270996094,135.66494750976562,587.7453002929688,48.85499954223633,7870.072265625,16.809999465942383,142.29022216796875,146.85040283203125,336.1576843261719,103.04886627197266,47.74520492553711,1195.6380615234375,11.35588264465332,26.803621292114258,153.27960205078125,67.8383560180664,193.02499389648438,141.1613006591797,885.1699829101562,13.300000190734863,26.664527893066406,50.97818374633789,0.3230000138282776,407.3953857421875
