,PBR,PFE,SGLD.L,SUAS.L,CBU7.L,index
2015-12-13,0.08480049806994,0.12307328711473237,0.19212621463097648,0.3,0.3,1.0
2015-12-20,0.08480049806994,0.12307328711473237,0.19212621463097648,0.3,0.3,0.9999999998156488
2015-12-27,0.08830951718422572,0.1254970968712936,0.1933659219289588,0.3,0.2996406783061906,1.0068132142906687
2016-01-03,0.08382579540953607,0.1241889962174633,0.1911344515950124,0.3,0.29910791574007745,0.9982571589620892
2016-01-10,0.07310390120882408,0.11926453674255726,0.19901344625952574,0.3,0.3018461035860832,0.9932279877969903
2016-01-17,0.06374659151808844,0.11853353931835799,0.19607489690043314,0.3,0.30375418004980015,0.9821092077866796
2016-01-24,0.0590679347091936,0.11814882763982634,0.1981410663889979,0.3,0.30328335254992494,0.9786411812879428
2016-01-31,0.06764545321140639,0.11730243337758986,0.20107043781694484,0.3,0.3053896552558597,0.9914079796618007
2016-02-07,0.06316175892609482,0.11168545002712664,0.20822396956980346,0.3,0.30633131025561017,0.9894024887786352
2016-02-14,0.06082241677695837,0.11409065391842563,0.22241166392219303,0.3,0.3076446512755801,1.0049693858931572
2016-02-21,0.061407269004222054,0.11459582161140935,0.2216035716060105,0.3,0.3072729463496628,1.0048796085713048
2016-02-28,0.0658909868518577,0.11747139796590222,0.21939964907760956,0.3,0.30701274722981126,1.0097747811251807
2016-03-06,0.10254039122868328,0.1154507271939673,0.2291887043285602,0.3,0.3051666436437281,1.052346466394939
2016-03-13,0.10780386099430166,0.11852058782673591,0.2267368515502497,0.3,0.3037665632819084,1.0568278636531956
2016-03-20,0.10858363254755443,0.11444036800011084,0.22544204864117637,0.3,0.3058109309216051,1.0542769801104468
2016-03-27,0.1052695995191761,0.11688849751529698,0.21981288017290077,0.3,0.30546399245990374,1.0474349696672776
2016-04-03,0.11443196632159855,0.11673309151977651,0.218196681528427,0.3,0.3076694366454942,1.0570311760152962
2016-04-10,0.11209262024540806,0.12629244701949008,0.22340342695815713,0.3,0.3087969157496565,1.0705854099727117
2016-04-17,0.1310021628799225,0.12629244701949008,0.22150255831497404,0.3,0.3083013217855652,1.0870984899999518
2016-04-24,0.14035944508128004,0.12928459870252623,0.22347689244364805,0.3,0.3066038926075699,1.099724828835024
2016-05-01,0.1503015677287392,0.1271084981271818,0.2328894423359986,0.3,0.3074959579617946,1.1177954661537142
